trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-210.18142138597332,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-121.8728946060641,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-81.8708219130378,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-137.86940546988927,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-97.81298071326664,"{0: 21, 1: 2, 2: 3, 3: 4, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-188.8536812361081,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,4,-91.31527089013389,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,0,-180.26420450312656,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-110.53397167856771,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-71.74297479010727,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-51.992016816613734,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-63.797151831331796,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-49.24045648143387,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,12,-25.83718623551704,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-230.2152490883982,"{0: 17, 1: 4, 2: 3, 3: 2, 4: 4}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-59.31316888590757,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,13,-16.547896949718258,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-37.86908602729804,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-171.56877455609936,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-105.71279091606814,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-142.50478589315992,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-144.14830286653972,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-169.49317795435675,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-120.905994158305,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-87.61870622401116,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-137.8108752861827,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-73.85756202419131,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,10,-64.75049987775769,"{0: 10, 1: 0, 2: 2, 3: 3, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,2,-27.211383292944653,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,0,-86.352219247458,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-78.56446671110461,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,1,-88.90223080435776,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,2,-99.6949433923395,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 1}",1
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",30,3,-23.197913701987943,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,0,-62.42218119336649,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-16.045585245910875,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,16,10.048420793913518,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-123.49900990801207,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,0,-54.71831663350415,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",30,3,-39.73323716065103,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
