trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.61981099490431,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.33177034837567,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.2638050503143,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.87302528266474,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,9,-88.71033288100067,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-87.4444054700238,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.44743329096295,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.84612882640087,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-219.1399554790626,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.694298851609,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.3405053651864,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,4,-127.4955247302157,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.38682566343714,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.03391760808572,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.19658762890495,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.95632799298394,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.57916105987198,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.16719571120625,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.31083367220819,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.2755641925028,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.38132216771812,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,13,-46.563931673403076,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.53695661135413,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.789381182116834,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.23090088592136,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,16,9.840775515406811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-207.4878034915323,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-243.87225723441713,"{0: 8, 1: 0, 2: 13, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.39788567304603,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-165.4096135688727,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
